Latency (ms), +/- (ms)
3.94, 0.02
2.05, 0.01
2.05, 0.01
2.72, 0.01
2.38, 0.01
3.86, 0.01
2.20, 0.03
2.14, 0.02
1.97, 0.02
2.71, 0.03
2.27, 0.02
2.83, 0.02
2.81, 0.02
2.65, 0.02
2.02, 0.02
2.25, 0.02
2.74, 0.02
2.69, 0.02
2.13, 0.02
2.77, 0.01
2.74, 0.02
2.16, 0.03
2.55, 0.02
4.25, 0.02
2.50, 0.02
22.12, 0.02
2.42, 0.02
1.97, 0.02
2.76, 0.02
2.12, 0.02
2.52, 0.02
2.41, 0.03
2.31, 0.02
2.18, 0.02
2.39, 0.02
2.26, 0.01
2.69, 0.02
2.59, 0.02
2.45, 0.02
2.00, 0.01
2.66, 0.03
2.07, 0.02
2.74, 0.02
1.95, 0.02
2.23, 0.01
2.56, 0.05
2.82, 0.03
2.67, 0.02
2.24, 0.02
2.75, 0.02
2.12, 0.03
2.20, 0.01
2.30, 0.02
2.71, 0.01
1.91, 0.03
2.34, 0.02
2.42, 0.04
2.20, 0.03
2.40, 0.02
3.23, 0.02
2.51, 0.03
1.95, 0.02
2.51, 0.02
2.50, 0.02
2.19, 0.02
2.23, 0.01
2.59, 0.02
1.88, 0.01
1.89, 0.01
2.22, 0.02
2.17, 0.02
2.63, 0.03
2.58, 0.03
2.78, 0.02
2.36, 0.02
1.82, 0.02
3.07, 0.03
2.62, 0.01
2.39, 0.01
2.94, 0.02
2.59, 0.01
2.59, 0.02
2.21, 0.02
2.34, 0.03
2.60, 0.02
2.09, 0.03
1.88, 0.01
2.07, 0.02
1.99, 0.02
1.93, 0.02
2.20, 0.01
2.08, 0.02
2.08, 0.02
1.93, 0.02
3.00, 0.03
2.45, 0.02
2.08, 0.02
5.88, 0.03
2.27, 0.02
2.68, 0.02
