Latency (ms), +/- (ms)
1.63, 0.02
1.76, 0.04
0.74, 0.02
1.29, 0.03
1.25, 0.02
1.11, 0.02
0.83, 0.02
0.67, 0.01
0.98, 0.03
1.21, 0.03
0.72, 0.02
1.46, 0.01
1.57, 0.03
0.83, 0.02
1.34, 0.02
1.58, 0.03
1.02, 0.03
1.01, 0.02
1.51, 0.01
1.69, 0.02
1.19, 0.01
1.58, 0.02
1.12, 0.02
0.84, 0.01
1.09, 0.03
1.60, 0.02
1.50, 0.02
1.29, 0.02
1.52, 0.02
0.82, 0.02
1.51, 0.01
1.20, 0.01
1.51, 0.02
1.72, 0.01
1.29, 0.02
1.64, 0.01
0.90, 0.03
1.69, 0.03
0.98, 0.03
1.42, 0.01
0.94, 0.01
1.63, 0.01
1.08, 0.01
1.74, 0.02
1.08, 0.02
1.30, 0.03
1.29, 0.01
0.98, 0.02
1.36, 0.01
0.91, 0.01
1.21, 0.01
0.95, 0.01
1.54, 0.02
1.19, 0.02
1.73, 0.02
1.47, 0.03
1.26, 0.01
1.25, 0.03
1.66, 0.02
1.25, 0.02
0.97, 0.02
1.12, 0.02
1.32, 0.02
0.61, 0.01
0.69, 0.04
1.01, 0.01
0.63, 0.01
1.34, 0.02
1.25, 0.01
1.38, 0.03
1.43, 0.01
1.05, 0.02
0.77, 0.02
1.77, 0.02
1.12, 0.02
1.39, 0.02
1.28, 0.02
1.45, 0.02
1.45, 0.03
1.65, 0.02
0.73, 0.01
1.60, 0.03
1.62, 0.02
0.99, 0.03
0.87, 0.02
1.26, 0.02
0.99, 0.02
1.52, 0.01
0.94, 0.02
1.41, 0.02
0.58, 0.02
0.98, 0.01
1.52, 0.03
1.69, 0.02
1.04, 0.02
1.21, 0.01
0.90, 0.01
0.67, 0.01
1.34, 0.01
0.99, 0.02
