Latency (ms), +/- (ms)
1.54, 0.02
2.00, 0.01
1.51, 0.01
1.64, 0.01
0.71, 0.02
1.68, 0.02
1.86, 0.02
1.82, 0.02
1.43, 0.02
1.27, 0.02
2.72, 0.02
1.59, 0.02
1.04, 0.01
1.70, 0.02
0.60, 0.02
1.96, 0.02
1.59, 0.03
1.11, 0.02
1.35, 0.02
1.63, 0.02
1.75, 0.02
1.53, 0.02
1.46, 0.02
1.58, 0.05
1.48, 0.02
0.76, 0.03
1.81, 0.02
1.32, 0.02
1.28, 0.02
0.78, 0.02
1.21, 0.02
1.34, 0.02
1.11, 0.02
1.82, 0.02
1.06, 0.01
1.25, 0.02
1.90, 0.01
1.39, 0.03
1.76, 0.02
1.52, 0.01
1.74, 0.01
0.98, 0.02
0.98, 0.01
1.03, 0.02
1.10, 0.02
1.62, 0.02
0.85, 0.03
1.37, 0.02
1.22, 0.02
1.10, 0.01
1.49, 0.02
1.29, 0.02
1.87, 0.02
1.66, 0.02
1.30, 0.01
0.81, 0.01
1.92, 0.02
1.46, 0.01
1.72, 0.01
1.78, 0.01
2.05, 0.02
1.17, 0.01
0.80, 0.03
1.20, 0.02
0.92, 0.02
1.38, 0.02
2.14, 0.01
1.25, 0.02
1.11, 0.01
2.41, 0.02
0.80, 0.01
1.36, 0.02
1.78, 0.02
1.67, 0.03
2.09, 0.02
1.81, 0.03
1.04, 0.02
1.13, 0.02
1.35, 0.02
1.96, 0.02
1.92, 0.03
1.46, 0.02
1.70, 0.01
1.07, 0.03
1.17, 0.02
1.39, 0.01
1.58, 0.01
1.51, 0.01
1.85, 0.01
0.73, 0.01
1.01, 0.02
0.78, 0.02
1.20, 0.02
1.15, 0.02
1.13, 0.01
0.77, 0.01
1.47, 0.01
2.09, 0.03
1.61, 0.02
1.72, 0.02
