Latency (ms), +/- (ms)
0.83, 0.02
1.12, 0.01
1.41, 0.01
0.58, 0.01
1.48, 0.01
0.64, 0.01
1.02, 0.02
0.72, 0.01
1.47, 0.02
1.22, 0.02
1.33, 0.01
0.48, 0.01
1.17, 0.03
1.82, 0.03
0.66, 0.02
1.01, 0.02
0.87, 0.02
0.80, 0.02
0.77, 0.02
1.02, 0.01
1.34, 0.02
1.53, 0.03
0.95, 0.02
0.73, 0.02
0.91, 0.01
0.67, 0.02
0.89, 0.01
1.10, 0.01
0.62, 0.01
0.72, 0.02
1.53, 0.02
0.76, 0.02
1.76, 0.02
0.85, 0.01
1.51, 0.01
1.63, 0.01
1.46, 0.03
1.40, 0.02
1.67, 0.03
1.22, 0.02
1.51, 0.01
1.25, 0.01
1.02, 0.02
1.09, 0.01
0.97, 0.01
0.94, 0.01
0.73, 0.03
1.22, 0.02
1.01, 0.02
0.88, 0.01
0.98, 0.02
1.47, 0.02
1.10, 0.02
1.69, 0.01
1.21, 0.02
1.07, 0.01
0.61, 0.01
1.14, 0.02
1.32, 0.03
1.12, 0.01
0.64, 0.02
0.83, 0.02
0.67, 0.02
0.78, 0.02
1.11, 0.01
1.71, 0.01
1.10, 0.01
1.20, 0.02
1.19, 0.01
1.40, 0.03
0.79, 0.01
1.49, 0.02
1.65, 0.01
1.12, 0.01
0.85, 0.02
1.17, 0.02
0.91, 0.01
1.36, 0.01
0.84, 0.01
0.91, 0.03
1.09, 0.02
1.41, 0.02
1.23, 0.01
1.46, 0.01
0.83, 0.02
1.50, 0.02
1.41, 0.02
1.50, 0.03
1.61, 0.02
1.51, 0.01
1.03, 0.02
1.40, 0.02
1.09, 0.01
1.36, 0.02
1.00, 0.02
0.98, 0.01
1.41, 0.01
1.58, 0.01
1.06, 0.02
1.61, 0.02
