Latency (ms), +/- (ms)
1.60, 0.02
1.47, 0.02
1.51, 0.02
0.92, 0.01
1.30, 0.01
0.84, 0.01
1.42, 0.03
0.89, 0.03
0.92, 0.03
1.16, 0.02
1.16, 0.02
1.57, 0.03
1.12, 0.02
1.48, 0.02
0.58, 0.02
1.53, 0.02
0.66, 0.02
1.56, 0.02
1.30, 0.02
1.36, 0.02
0.60, 0.01
1.52, 0.03
0.79, 0.02
1.28, 0.02
1.64, 0.02
0.77, 0.01
1.28, 0.01
1.28, 0.02
1.90, 0.02
1.03, 0.02
0.81, 0.02
1.03, 0.02
1.56, 0.02
1.55, 0.02
1.34, 0.02
1.39, 0.03
0.98, 0.02
1.66, 0.02
0.92, 0.01
1.54, 0.02
0.70, 0.02
1.30, 0.03
1.77, 0.02
1.20, 0.02
0.57, 0.02
1.21, 0.03
0.83, 0.02
1.47, 0.04
0.83, 0.02
1.25, 0.02
1.17, 0.02
1.76, 0.02
0.66, 0.03
1.55, 0.02
0.90, 0.02
1.68, 0.01
0.98, 0.02
0.77, 0.03
1.05, 0.02
0.72, 0.02
0.78, 0.02
1.06, 0.02
1.24, 0.02
0.84, 0.02
1.35, 0.01
1.48, 0.02
0.62, 0.02
0.62, 0.02
1.21, 0.01
0.68, 0.02
0.88, 0.02
1.38, 0.02
1.29, 0.02
0.99, 0.02
0.96, 0.01
0.73, 0.02
1.37, 0.03
1.03, 0.03
1.80, 0.02
1.34, 0.02
1.24, 0.03
1.22, 0.02
1.57, 0.02
0.88, 0.02
1.06, 0.02
0.84, 0.02
1.60, 0.02
0.95, 0.02
0.98, 0.02
1.12, 0.03
1.70, 0.02
0.84, 0.02
1.09, 0.02
1.18, 0.04
1.45, 0.02
1.30, 0.03
1.35, 0.02
1.65, 0.02
1.58, 0.02
1.45, 0.02
