Latency (ms), +/- (ms)
1.48, 0.02
0.69, 0.01
0.90, 0.01
0.81, 0.01
1.18, 0.01
1.56, 0.01
1.07, 0.04
1.36, 0.02
1.73, 0.01
1.20, 0.02
0.93, 0.02
1.14, 0.02
1.27, 0.02
1.30, 0.02
1.49, 0.01
1.34, 0.02
0.76, 0.02
1.29, 0.01
1.24, 0.03
1.55, 0.02
1.59, 0.02
1.19, 0.02
1.10, 0.02
1.13, 0.01
0.79, 0.01
1.04, 0.01
0.67, 0.01
0.92, 0.01
1.41, 0.01
1.29, 0.02
1.00, 0.01
1.48, 0.04
0.79, 0.02
1.42, 0.02
2.45, 0.02
1.34, 0.02
1.80, 0.01
0.82, 0.02
1.12, 0.02
1.47, 0.02
1.17, 0.01
1.75, 0.03
1.33, 0.02
1.46, 0.02
0.90, 0.02
1.55, 0.02
0.86, 0.01
1.28, 0.02
1.58, 0.02
1.39, 0.02
1.60, 0.01
1.11, 0.01
0.74, 0.01
1.52, 0.01
1.34, 0.01
0.72, 0.03
0.68, 0.02
1.13, 0.02
1.13, 0.02
0.86, 0.02
1.60, 0.02
1.23, 0.02
1.09, 0.02
0.85, 0.04
0.99, 0.02
0.76, 0.02
1.80, 0.03
0.79, 0.01
1.57, 0.02
0.78, 0.01
1.46, 0.02
1.33, 0.02
1.49, 0.01
1.02, 0.01
0.91, 0.02
0.95, 0.02
0.98, 0.02
1.41, 0.03
0.84, 0.01
1.61, 0.02
0.70, 0.02
0.76, 0.02
0.75, 0.02
1.73, 0.02
1.22, 0.02
1.18, 0.02
0.82, 0.02
1.40, 0.04
0.78, 0.02
1.57, 0.02
1.13, 0.02
1.43, 0.01
1.15, 0.02
1.08, 0.02
1.26, 0.02
1.05, 0.01
1.47, 0.02
0.80, 0.02
0.82, 0.03
0.85, 0.01
