Latency (ms), +/- (ms)
4.72, 0.04
3.14, 0.02
4.05, 0.02
3.87, 0.04
3.39, 0.02
4.35, 0.02
3.81, 0.02
4.70, 0.01
4.33, 0.02
3.23, 0.01
3.60, 0.02
3.83, 0.02
3.07, 0.02
4.37, 0.01
4.17, 0.02
4.07, 0.02
3.73, 0.01
3.45, 0.02
3.42, 0.02
4.25, 0.02
3.70, 0.02
3.62, 0.02
3.30, 0.02
4.10, 0.02
4.98, 0.01
3.46, 0.01
3.70, 0.01
4.04, 0.02
3.99, 0.01
3.95, 0.01
2.87, 0.01
3.70, 0.01
3.32, 0.02
4.35, 0.02
2.81, 0.01
3.52, 0.03
3.82, 0.01
4.06, 0.02
3.27, 0.01
3.81, 0.01
3.15, 0.01
3.65, 0.02
3.45, 0.01
4.00, 0.01
4.42, 0.01
3.55, 0.01
3.27, 0.01
5.06, 0.03
3.98, 0.03
5.46, 0.02
3.92, 0.01
3.65, 0.02
3.53, 0.02
8.95, 0.01
3.13, 0.01
3.50, 0.02
3.76, 0.02
3.99, 0.01
4.34, 0.02
4.31, 0.01
3.87, 0.01
3.61, 0.01
4.38, 0.02
3.23, 0.01
3.56, 0.01
4.29, 0.01
3.76, 0.03
3.63, 0.02
4.11, 0.01
3.53, 0.01
3.80, 0.01
3.82, 0.03
3.11, 0.03
3.69, 0.02
4.21, 0.02
3.38, 0.01
3.76, 0.03
2.76, 0.01
4.51, 0.01
3.55, 0.01
3.97, 0.01
3.70, 0.02
4.09, 0.01
3.37, 0.01
2.92, 0.03
6.32, 0.01
3.63, 0.02
4.77, 0.01
3.84, 0.03
3.77, 0.03
3.91, 0.03
3.55, 0.01
3.62, 0.01
4.12, 0.02
4.02, 0.01
3.80, 0.01
3.75, 0.01
4.01, 0.01
4.23, 0.01
4.19, 0.02
