Latency (ms), +/- (ms)
3.26, 0.02
2.92, 0.01
2.62, 0.01
2.24, 0.01
2.50, 0.01
2.54, 0.01
2.48, 0.01
2.32, 0.02
2.44, 0.02
3.11, 0.03
3.13, 0.02
2.37, 0.02
2.53, 0.01
2.02, 0.02
3.09, 0.02
2.79, 0.02
2.54, 0.01
2.65, 0.02
2.47, 0.02
2.70, 0.03
2.83, 0.01
5.12, 0.01
2.46, 0.02
2.44, 0.02
2.76, 0.01
2.73, 0.02
2.45, 0.02
2.39, 0.02
5.44, 0.02
2.65, 0.02
2.51, 0.02
2.85, 0.02
2.60, 0.03
2.19, 0.02
2.68, 0.02
2.12, 0.02
2.46, 0.01
2.65, 0.01
2.84, 0.01
2.81, 0.03
3.20, 0.03
2.68, 0.02
3.24, 0.02
2.74, 0.01
2.72, 0.01
2.56, 0.02
2.76, 0.01
1.97, 0.02
2.77, 0.01
2.64, 0.01
2.06, 0.02
2.39, 0.02
2.07, 0.01
2.69, 0.01
3.06, 0.02
4.19, 0.02
4.60, 0.02
2.31, 0.01
3.26, 0.02
3.18, 0.01
2.38, 0.02
1.88, 0.01
2.21, 0.02
3.45, 0.02
3.10, 0.02
1.91, 0.01
3.08, 0.02
3.66, 0.02
8.29, 0.01
2.31, 0.03
3.09, 0.01
2.38, 0.02
2.76, 0.02
2.89, 0.02
2.51, 0.02
5.70, 0.02
3.07, 0.02
3.81, 0.02
3.09, 0.02
2.67, 0.01
4.89, 0.03
2.98, 0.01
2.62, 0.02
3.09, 0.01
2.94, 0.02
2.89, 0.01
2.34, 0.02
2.33, 0.02
2.07, 0.03
2.69, 0.02
1.81, 0.02
2.13, 0.01
1.95, 0.01
3.06, 0.02
2.66, 0.01
2.89, 0.02
3.42, 0.01
2.56, 0.02
2.95, 0.02
3.07, 0.02
