Latency (ms), +/- (ms)
2.64, 0.02
2.47, 0.01
2.70, 0.01
2.22, 0.01
2.60, 0.01
2.09, 0.01
2.34, 0.03
2.61, 0.02
5.82, 0.03
5.27, 0.03
2.42, 0.02
5.41, 0.02
2.35, 0.02
2.23, 0.02
1.97, 0.02
2.23, 0.02
2.44, 0.02
1.87, 0.02
2.76, 0.03
2.27, 0.02
2.04, 0.01
2.19, 0.02
2.02, 0.02
5.66, 0.02
2.40, 0.02
3.29, 0.02
3.43, 0.02
3.81, 0.02
2.85, 0.02
1.98, 0.02
2.62, 0.03
2.04, 0.02
1.87, 0.02
3.78, 0.02
2.25, 0.02
3.39, 0.02
2.67, 0.02
2.54, 0.02
2.64, 0.02
1.94, 0.02
2.68, 0.02
2.42, 0.02
2.51, 0.04
2.73, 0.02
2.73, 0.02
3.05, 0.02
2.26, 0.02
2.91, 0.02
2.33, 0.02
2.81, 0.02
2.14, 0.02
2.55, 0.02
2.30, 0.02
2.29, 0.02
2.92, 0.02
2.62, 0.02
2.72, 0.03
5.08, 0.02
2.07, 0.02
2.34, 0.03
2.33, 0.02
1.89, 0.02
2.04, 0.03
2.34, 0.02
2.47, 0.08
2.79, 0.03
2.61, 0.02
2.63, 0.01
2.25, 0.02
3.51, 0.02
2.05, 0.02
2.28, 0.02
2.06, 0.02
2.25, 0.03
2.91, 0.02
11.56, 0.02
2.84, 0.02
1.96, 0.02
2.75, 0.02
2.91, 0.02
3.49, 0.01
1.90, 0.02
2.23, 0.01
2.40, 0.01
2.35, 0.01
3.04, 0.02
1.95, 0.03
3.95, 0.01
2.33, 0.03
3.40, 0.06
2.68, 0.01
2.70, 0.02
2.21, 0.01
1.72, 0.01
4.96, 0.02
1.98, 0.03
2.69, 0.02
2.67, 0.01
2.84, 0.02
2.66, 0.02
