Latency (ms), +/- (ms)
1.64, 0.02
0.85, 0.01
1.60, 0.01
1.93, 0.01
0.72, 0.01
1.46, 0.02
0.98, 0.01
1.76, 0.02
1.33, 0.02
2.57, 0.02
1.85, 0.02
1.14, 0.02
1.63, 0.02
1.50, 0.02
0.97, 0.02
1.03, 0.02
1.39, 0.02
1.55, 0.03
1.98, 0.03
1.68, 0.02
1.61, 0.02
1.56, 0.02
4.52, 0.02
1.23, 0.02
3.85, 0.02
1.28, 0.02
1.35, 0.02
1.65, 0.01
1.33, 0.02
1.16, 0.02
3.28, 0.03
1.73, 0.02
1.65, 0.03
1.29, 0.02
3.60, 0.02
1.92, 0.02
1.68, 0.02
1.39, 0.02
1.01, 0.03
1.62, 0.02
2.01, 0.02
1.21, 0.01
1.11, 0.03
1.39, 0.02
1.65, 0.02
1.17, 0.02
4.68, 0.02
1.31, 0.02
0.89, 0.03
1.55, 0.02
0.79, 0.02
1.85, 0.03
1.79, 0.02
1.38, 0.01
1.24, 0.02
1.11, 0.02
2.41, 0.02
2.02, 0.01
1.50, 0.02
0.96, 0.02
1.28, 0.02
1.67, 0.02
1.55, 0.04
1.56, 0.02
1.92, 0.02
1.96, 0.03
3.76, 0.02
1.31, 0.02
1.13, 0.01
1.72, 0.02
1.05, 0.02
1.26, 0.03
1.21, 0.03
0.94, 0.03
2.08, 0.04
1.82, 0.02
1.88, 0.01
1.19, 0.02
1.44, 0.01
1.26, 0.02
2.74, 0.01
1.06, 0.01
1.22, 0.02
3.51, 0.02
1.34, 0.02
1.43, 0.02
3.26, 0.03
1.90, 0.03
1.73, 0.02
1.53, 0.03
0.63, 0.02
1.40, 0.02
1.86, 0.02
2.05, 0.02
1.23, 0.02
1.96, 0.03
1.85, 0.02
2.68, 0.03
1.51, 0.02
1.50, 0.02
