Latency (ms), +/- (ms)
0.77, 0.02
0.71, 0.02
1.67, 0.01
1.11, 0.02
1.10, 0.01
0.98, 0.01
1.46, 0.02
3.61, 0.02
1.46, 0.02
1.01, 0.02
1.17, 0.03
1.09, 0.02
1.20, 0.02
1.61, 0.05
1.53, 0.02
1.31, 0.02
0.79, 0.02
1.40, 0.02
0.61, 0.01
1.55, 0.02
4.15, 0.01
5.59, 0.01
1.44, 0.02
2.35, 0.03
1.69, 0.02
4.13, 0.03
1.78, 0.02
1.41, 0.01
1.38, 0.01
0.86, 0.02
1.00, 0.02
1.38, 0.02
1.50, 0.02
0.98, 0.01
1.38, 0.02
1.50, 0.02
1.54, 0.02
0.84, 0.02
1.20, 0.01
1.31, 0.03
0.69, 0.03
1.01, 0.03
1.58, 0.01
1.17, 0.01
1.77, 0.02
1.65, 0.02
1.08, 0.02
1.15, 0.03
1.43, 0.02
3.64, 0.02
0.64, 0.03
0.84, 0.02
1.47, 0.02
0.98, 0.02
1.74, 0.02
1.24, 0.02
0.65, 0.02
1.00, 0.01
1.37, 0.02
1.74, 0.02
1.56, 0.02
1.76, 0.04
0.79, 0.03
1.22, 0.02
1.74, 0.02
0.99, 0.02
0.90, 0.02
1.33, 0.02
1.59, 0.02
1.24, 0.02
1.24, 0.03
0.96, 0.01
0.81, 0.02
1.56, 0.02
1.67, 0.02
1.28, 0.02
1.29, 0.03
0.86, 0.01
1.06, 0.02
0.95, 0.03
1.67, 0.02
1.16, 0.01
1.43, 0.02
1.03, 0.03
1.57, 0.03
1.09, 0.02
1.65, 0.02
1.41, 0.02
1.58, 0.01
1.01, 0.02
1.05, 0.02
3.54, 0.02
1.41, 0.02
1.51, 0.01
0.77, 0.01
1.05, 0.02
0.91, 0.02
0.90, 0.02
1.00, 0.01
1.58, 0.01
