Latency (ms), +/- (ms)
1.25, 0.02
1.00, 0.01
1.31, 0.01
0.91, 0.01
1.45, 0.02
0.73, 0.01
1.60, 0.03
1.09, 0.02
1.24, 0.02
1.25, 0.02
1.66, 0.02
1.42, 0.02
0.93, 0.02
0.89, 0.02
0.72, 0.02
1.30, 0.04
1.77, 0.02
1.26, 0.02
1.65, 0.02
0.91, 0.02
0.78, 0.02
1.41, 0.02
1.45, 0.02
0.99, 0.02
2.47, 0.02
1.04, 0.02
1.32, 0.03
1.56, 0.02
1.62, 0.03
1.37, 0.02
1.66, 0.02
1.50, 0.03
1.33, 0.02
1.32, 0.02
1.50, 0.02
0.92, 0.02
1.32, 0.02
1.19, 0.03
0.88, 0.02
1.16, 0.02
1.41, 0.02
0.99, 0.01
1.82, 0.02
3.73, 0.01
1.10, 0.02
0.93, 0.02
1.24, 0.01
1.06, 0.02
1.49, 0.02
1.40, 0.02
2.97, 0.03
1.07, 0.02
1.03, 0.02
1.08, 0.02
0.87, 0.02
1.02, 0.02
0.73, 0.02
1.59, 0.02
1.22, 0.02
1.34, 0.02
1.40, 0.02
1.77, 0.02
1.48, 0.03
0.92, 0.02
1.29, 0.02
0.89, 0.02
0.98, 0.02
1.44, 0.02
0.59, 0.02
1.16, 0.01
1.50, 0.02
0.98, 0.02
1.82, 0.02
1.74, 0.01
1.72, 0.03
0.70, 0.02
0.64, 0.02
0.91, 0.02
1.46, 0.02
0.86, 0.01
1.47, 0.02
1.06, 0.01
0.61, 0.02
1.31, 0.02
1.21, 0.02
1.58, 0.02
1.65, 0.03
1.03, 0.02
0.66, 0.01
0.82, 0.01
1.55, 0.02
1.15, 0.02
1.41, 0.01
1.06, 0.02
0.81, 0.02
1.51, 0.02
0.82, 0.02
1.35, 0.03
1.55, 0.02
1.20, 0.02
