Latency (ms), +/- (ms)
3.20, 0.02
1.30, 0.01
1.44, 0.02
4.26, 0.01
4.48, 0.02
14.02, 0.01
10.77, 0.01
7.61, 0.03
10.72, 0.03
10.85, 0.03
4.12, 0.02
4.09, 0.01
17.44, 0.03
7.27, 0.02
13.89, 0.02
4.43, 0.03
0.98, 0.02
4.57, 0.02
10.59, 0.01
7.43, 0.02
1.01, 0.02
7.81, 0.03
13.84, 0.02
14.01, 0.03
1.20, 0.02
0.90, 0.01
13.83, 0.02
7.70, 0.03
7.54, 0.02
7.43, 0.02
0.89, 0.01
14.20, 0.02
13.82, 0.01
1.19, 0.02
7.32, 0.02
16.90, 0.02
13.61, 0.01
10.68, 0.02
10.80, 0.02
13.86, 0.03
0.83, 0.01
10.71, 0.02
10.77, 0.02
4.50, 0.02
17.03, 0.02
10.85, 0.02
4.15, 0.01
10.56, 0.02
7.25, 0.04
10.57, 0.01
14.00, 0.02
7.27, 0.01
17.18, 0.02
1.14, 0.03
3.94, 0.01
7.53, 0.02
17.25, 0.02
10.97, 0.02
13.99, 0.02
10.73, 0.02
4.32, 0.02
11.00, 0.02
7.50, 0.02
4.21, 0.02
10.70, 0.02
14.08, 0.02
1.24, 0.02
10.68, 0.01
13.77, 0.01
1.04, 0.02
4.58, 0.02
7.75, 0.03
10.56, 0.01
14.21, 0.03
4.32, 0.02
7.66, 0.02
13.84, 0.02
1.24, 0.01
7.52, 0.01
4.57, 0.02
7.39, 0.02
7.29, 0.01
7.69, 0.02
10.87, 0.02
13.99, 0.02
7.62, 0.02
7.51, 0.01
13.74, 0.01
13.66, 0.01
4.41, 0.02
17.10, 0.02
14.20, 0.02
4.17, 0.02
10.51, 0.01
17.01, 0.01
13.75, 0.02
4.54, 0.02
10.91, 0.02
4.12, 0.02
4.51, 0.02
