Latency (ms), +/- (ms)
11.61, 0.02
10.98, 0.01
7.44, 0.01
14.27, 0.01
17.24, 0.01
7.62, 0.01
17.14, 0.02
17.46, 0.02
4.31, 0.02
10.55, 0.01
16.87, 0.02
13.97, 0.02
10.38, 0.01
13.94, 0.02
13.61, 0.01
10.97, 0.02
7.49, 0.01
4.12, 0.01
7.40, 0.02
4.36, 0.01
13.88, 0.01
10.51, 0.01
17.45, 0.03
7.65, 0.02
4.03, 0.02
16.97, 0.01
14.02, 0.01
10.63, 0.01
11.05, 0.02
10.85, 0.02
13.75, 0.01
16.94, 0.01
17.23, 0.03
10.75, 0.02
17.03, 0.02
14.13, 0.02
16.98, 0.01
17.36, 0.02
7.66, 0.02
10.85, 0.01
4.24, 0.01
4.60, 0.03
10.67, 0.04
13.69, 0.03
7.42, 0.02
17.15, 0.01
10.51, 0.01
10.83, 0.01
7.64, 0.02
10.88, 0.01
10.63, 0.01
7.87, 0.02
10.44, 0.02
17.29, 0.03
17.00, 0.02
17.24, 0.01
4.61, 0.01
4.24, 0.01
4.55, 0.02
7.74, 0.02
4.39, 0.03
13.66, 0.01
4.37, 0.02
4.37, 0.04
13.77, 0.01
7.81, 0.02
7.49, 0.01
14.04, 0.02
4.23, 0.02
7.49, 0.02
4.02, 0.01
17.32, 0.02
7.23, 0.01
4.54, 0.02
4.26, 0.01
4.45, 0.01
4.10, 0.01
14.17, 0.01
7.48, 0.01
17.24, 0.02
13.84, 0.02
10.66, 0.01
14.21, 0.02
4.06, 0.01
17.01, 0.02
10.71, 0.02
17.11, 0.01
10.81, 0.02
13.64, 0.01
7.32, 0.02
17.36, 0.01
7.54, 0.04
4.29, 0.02
7.53, 0.02
10.63, 0.01
14.12, 0.02
13.56, 0.01
7.74, 0.02
13.93, 0.02
7.39, 0.01
